Ano,Republica,Guatemala,ElProgreso,Sacatepequez,Chimaltenango,Escuintla,SantaRosa,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,SanMarcos,Huehuetenango,Quiche,BajaVerapaz,AltaVerapaz,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado
2020,341212,54807,3560,6064,14090,14102,7696,9373,11838,17911,12066,7075,26191,33839,28045,7274,31582,13358,8919,5000,9693,8457,9936,223,113
2019,366855,59563,3709,6341,15192,15437,8024,10021,12507,19461,13252,7752,27460,36881,29288,7831,34614,14851,9393,5460,10123,8931,10357,339,68
2018,383263,64735,3920,6545,15540,16321,8228,10168,12945,20050,13623,8236,29426,38156,30168,8030,34819,15427,10130,5835,10698,9305,10536,339,83
2017,381664,66407,3990,6631,15824,16249,8464,10209,12744,20248,13549,8115,30133,37607,28651,7912,33966,14808,9789,5885,10495,8972,10748,194,74
2016,390382,67192,4044,6734,16563,16266,9063,10351,13113,20774,13349,8144,31880,38078,29490,8187,34340,15474,9800,5443,11375,9303,11246,130,43
2015,391425,67471,4057,7292,16042,16830,8834,10507,12443,20838,13818,8510,30832,38669,29490,7953,34605,15111,10326,6115,10967,9340,11239,107,29
2014,386195,66836,4238,6965,15685,16976,9168,10033,12200,20518,13885,8321,30366,37843,28993,7941,33111,15377,10140,5984,10770,9448,11186,155,56
2013,387342,65920,4202,7004,15755,16401,9478,10051,12239,20265,13920,8158,30193,37732,29359,7889,34119,15510,10404,6132,10954,9556,11836,225,40
2012,388613,64478,4042,6988,15868,16454,9601,9871,12195,21031,14147,8207,30389,38477,29590,7951,34986,15353,10122,6129,11488,9284,11789,139,34
2011,373692,61951,4092,6845,15303,15800,9022,9555,11724,19858,13782,7894,29742,36713,28392,7760,33382,14383,10137,6001,10721,9022,11335,158,120
2010,361906,59021,3761,6697,14998,14342,8253,9413,11400,19004,12947,7418,29322,36390,27795,7628,33501,14147,9878,5648,10400,8548,11134,113,148
2009,351628,58906,3814,6708,14482,14552,8181,9511,11410,18653,12771,7297,27590,32782,26849,7218,32925,13632,8956,5626,10181,8270,10809,129,376
2008,369769,63519,3819,6771,15369,15316,8618,10426,11977,18422,14026,7659,28578,33560,28734,7500,35745,14053,9382,5660,10371,8849,10863,136,416
2007,366128,62099,3774,6927,15100,15253,8565,10910,11753,17942,15633,7528,28708,34077,27666,7306,32632,13806,10088,5556,10721,8901,10845,118,220
2006,368399,64007,3894,6967,14843,15614,8608,10722,12034,18225,16067,7834,30122,33054,27704,7563,31013,13575,9836,5661,10516,8397,11488,107,548
2005,374066,64172,3639,7064,15445,16144,8921,11008,11912,19789,16032,7657,30743,33309,27939,7559,30910,13350,10386,5636,11024,8801,12112,62,452
